angry,disgusted,fearful,happy,neutral,sad,surprised,time
0.0,0.0,0.0,1.0,0.0,0.0,0.0,15:26
0.0,0.0,0.0,1.0,0.0,0.0,0.0,15:32
0.0,0.0,0.0,1.0,0.0,0.0,0.0,15:34
0.0,0.0,0.0,0.83,0.04,0.13,0.0,15:36
0.0,0.0,0.0,1.0,0.0,0.0,0.0,15:38
0.0,0.0,0.0,0.51,0.02,0.47,0.0,15:4
0.0,0.0,0.0,0.0,0.78,0.21,0.0,15:42
0.0,0.0,0.0,0.04,0.94,0.02,0.0,15:44
0.0,0.0,0.0,0.08,0.8,0.11,0.01,15:46
0.0,0.0,0.0,0.01,0.69,0.3,0.0,15:48
0.0,0.0,0.0,0.01,0.45,0.54,0.0,15:5
0.0,0.0,0.0,0.0,0.17,0.83,0.0,15:52
0.0,0.0,0.0,0.0,0.33,0.67,0.0,15:54
0.0,0.0,0.0,0.0,0.68,0.32,0.0,15:56
0.0,0.0,0.01,0.0,0.33,0.65,0.0,15:58
0.0,0.0,0.0,0.0,0.95,0.04,0.0,16:0
0.0,0.0,0.0,0.02,0.8,0.17,0.0,16:6
0.0,0.0,0.0,0.0,0.98,0.02,0.0,16:8
0.0,0.0,0.0,0.0,0.85,0.14,0.0,16:1
0.0,0.0,0.0,0.01,0.97,0.02,0.0,16:12
0.0,0.0,0.0,0.0,0.97,0.03,0.0,16:14
0.0,0.0,0.0,0.01,0.95,0.04,0.0,16:16
0.0,0.0,0.0,0.0,0.52,0.47,0.0,16:18
0.0,0.0,0.0,0.0,0.99,0.01,0.0,16:2
0.0,0.0,0.0,0.0,0.72,0.27,0.0,16:22
0.0,0.0,0.0,0.0,0.86,0.13,0.0,16:24
0.0,0.0,0.0,0.01,0.82,0.18,0.0,16:26
0.0,0.0,0.0,0.07,0.6,0.33,0.0,16:28
0.0,0.0,0.0,0.0,0.99,0.01,0.0,16:3
0.0,0.0,0.0,0.01,0.98,0.01,0.0,16:32
0.0,0.0,0.0,0.03,0.83,0.14,0.0,16:34
0.0,0.0,0.0,0.05,0.82,0.13,0.0,16:36
0.0,0.0,0.0,0.78,0.21,0.01,0.0,16:38
0.0,0.0,0.0,0.97,0.03,0.0,0.0,16:4
0.0,0.0,0.0,1.0,0.0,0.0,0.0,16:42
0.0,0.0,0.0,1.0,0.0,0.0,0.0,16:44
0.0,0.0,0.0,1.0,0.0,0.0,0.0,16:46
0.0,0.0,0.0,1.0,0.0,0.0,0.0,16:48
0.0,0.0,0.0,1.0,0.0,0.0,0.0,16:5
0.0,0.0,0.0,1.0,0.0,0.0,0.0,16:52
0.0,0.0,0.0,0.99,0.0,0.0,0.01,16:54
0.0,0.0,0.0,0.95,0.0,0.04,0.0,16:56
0.0,0.0,0.02,0.94,0.0,0.02,0.02,16:58
0.0,0.0,0.0,1.0,0.0,0.0,0.0,17:0
0.0,0.0,0.01,0.84,0.01,0.03,0.11,17:6
0.0,0.0,0.0,1.0,0.0,0.0,0.0,17:8
0.0,0.0,0.01,0.93,0.02,0.03,0.01,17:12
0.0,0.0,0.0,0.96,0.01,0.02,0.01,17:16
0.0,0.0,0.0,1.0,0.0,0.0,0.0,17:18
